fr,mos
Bonjour ,Nei beogo 
Comment allez-vous ?,Kibaré ?
"Très bien, merci, et vous ?","Laafi, laa foo?"
Parlez-vous français ?,Yamb gomda farende bi?
Je comprends,Mam wumame
Pardon,Mane sougouri
Au revoir,Bilfou
Bienvenue,Iela
Merci (beaucoup),Barka
Excusez-moi/SVP,Gaafara
Je suis Français(e),Mam be Farende
Je m’appelle…,Mam yula ...
Non merci,Ayo barka
,
Je vous en prie,Kassek bark yé
C’est combien ?,Ya wana
C’est très bon marché,Ya soma
C’est trop cher !,Ya toogo
Pouvez-vous baisser le prix ?,Barase
Je voudrais acheter,Mam rate ra
J’adore,Mam nonga
Argent,Liguidi
,
,
Avion,silga
Bateau,bateau
Train,train
Taxi,tagsi
Bus,bus
,
Moto,moto
Voiture,mobilli
Vélo,Weefo
Où est ? ,Yaa ye?
Banque,Banka
Gare,gare
un,Yembre
Hôtel,Gaag ziiga
Hôpital,Logtor yiri
Est-ce loin ?,Zarame bi?
Tout droit,Yaa tirga
deux,Yiibo
trois,Taabo
dix,Piga
soixante,pissobé
quatre-vingt-dix,piswae
quatre,Naasse
Quelle heure est-il ?,Heure bougo be 
Quand ?,Raboure
Hier,Zaame
Aujourd’hui,Rouna
Demain,Beogo
dimanche,ato
Je suis ici en vacances ,Mam be ka vacances
cinq,Nou
J’ai faim,Kome tar m'am
six,Yoobe
Santé ,Laafi
C’était délicieux !,Ya sooma
sept,Yoopoue
huit,Nii
neuf,Oue
vingt,Pissi
trente,pista
quarante,pisnasé
cinquante,pihinou
Soixante-dix,pisopoe
Quatre-vingts,pisnii
Eau,Kom
Lundi,Tene
mardi,talata
mercredi,araba
jeudi,lamoussa
vendredi,arjouma
samedi,sibiri
Je ne me sens pas très bien,mam ka keem ye
,
,
,
Police,Poliis
Danger,Masiiba
Je suis perdu,Mam menmame
Bonne journée !,Wend na kod beoogo
Bonsoir, Ne zaabre
Parlez-vous anglais ?,Yamb gomda anglais bi?
Je ne comprends pas,Mam ka wumame ye
Je déteste,Mam ka nonga
j’ai soif,Konioudou tar mam
